ParentTopic,ComparedToTopic,IndexofSimilarity
11,49,0.009348534240674604
11,50,0.03560879299898728
11,51,0.0
11,52,0.0
11,53,0.012977193426664039
11,54,0.0
11,55,0.005994492605659742
11,56,0.00319468708290295
11,57,0.0
11,58,0.0
11,59,0.0
11,60,0.0
11,61,0.0
11,62,0.0
11,63,0.0
11,64,0.0
11,65,0.0
11,66,0.0
11,67,0.0
11,68,0.0
11,69,0.0
11,70,0.0
11,71,0.0
11,72,0.0
11,73,0.0
11,74,0.0
11,75,0.0
11,76,0.0
11,77,0.0
12,13,0.4581750019460631
12,14,0.027146636167242586
12,15,0.050606039352611626
12,16,0.07111654343183495
12,17,0.04035045020019062
12,18,0.04063353512944739
12,19,0.04715717148609886
12,20,0.08963249549717628
12,21,0.07001214531365782
12,22,0.08122690548084982
12,23,0.04479330273603763
12,24,0.08681822504225618
12,25,0.09510033555474687
12,26,0.11586352871720848
12,27,0.11229650666627705
12,28,0.14284879646590495
12,29,0.1004081158481405
12,30,0.03170367867496314
12,31,0.10108773970321253
12,32,0.08980366736826716
12,33,0.04254301249148873
12,34,0.03170453838869368
12,35,0.03747953420934956
12,36,0.04282496786662001
12,37,0.08618554539219545
12,38,0.016135484796052982
12,39,0.03150221646786568
12,40,0.021539718540983112
12,41,0.006909147230457012
12,42,0.015247934304989741
12,43,0.05062508410938904
12,44,0.0871682976538192
12,45,0.06268075495992448
12,46,0.11004772061449485
12,47,0.08592143804307009
12,48,0.02175770522765551
12,49,0.02177811070068149
12,50,0.12127426076679712
12,51,0.0
12,52,0.0
12,53,0.0354096493447148
12,54,0.0
12,55,0.0
12,56,0.0
12,57,0.0
12,58,0.0
12,59,0.0
12,60,0.0
12,61,0.0
12,62,0.0
12,63,0.0
12,64,0.0
12,65,0.0
12,66,0.0
12,67,0.0
12,68,0.0
12,69,0.0
12,70,0.0
12,71,0.0
12,72,0.0
12,73,0.0
12,74,0.0
12,75,0.0
12,76,0.0
12,77,0.0
13,14,0.018717226186038324
13,15,0.017628224638013293
13,16,0.010151004295154384
13,17,0.02944247988598578
13,18,0.02823238746140791
13,19,0.0704315738820777
13,20,0.03064610147242643
13,21,0.10767586202015014
13,22,0.09389206833866014
13,23,0.022482154475890692
13,24,0.07040784970526981
13,25,0.09752229543846097
13,26,0.06800744725816714
13,27,0.1312117910393385
13,28,0.07784102353725748
13,29,0.016079763089580104
13,30,0.015515737940360961
13,31,0.07539482166427218
13,32,0.08535494370496197
13,33,0.015042259311781232
13,34,0.02981950804372508
13,35,0.025885642117972417
13,36,0.10332120556632288
13,37,0.062409670186620796
13,38,0.044496254898812274
13,39,0.06266291914474638
13,40,0.0035259334927185038
13,41,0.006857156498840288
13,42,0.02736953914782359
13,43,0.01762073308417309
13,44,0.03434763017688873
13,45,0.03665462489340014
13,46,0.1539528030409078
13,47,0.05716703942568745
13,48,0.012576753441881706
13,49,0.0243579906465797
13,50,0.18266424783760618
13,51,0.0
13,52,0.0
13,53,0.04161279053368585
13,54,0.0
13,55,0.0
13,56,0.0
13,57,0.0
13,58,0.0
13,59,0.0
13,60,0.0
13,61,0.0
13,62,0.0
13,63,0.0
13,64,0.0
13,65,0.0
13,66,0.0
13,67,0.0
13,68,0.0
13,69,0.0
13,70,0.0
13,71,0.0
13,72,0.0
13,73,0.0
13,74,0.0
13,75,0.0
13,76,0.0
13,77,0.0
14,15,0.16828173823618756
14,16,0.10358571573063878
14,17,0.18935064393296036
14,18,0.28908192107081193
14,19,0.020742497072634796
14,20,0.1829669704955998
14,21,0.010503799770105335
14,22,0.04428810792173266
14,23,0.019309395324253093
14,24,0.13207966484047098
14,25,0.03859100479221928
14,26,0.02236272727777485
14,27,0.029867515500238823
14,28,0.22272409983165392
14,29,0.1589041780479774
14,30,0.02540414498139014
14,31,0.02028457604246982
14,32,0.04364147492113049
14,33,0.019214351149527152
14,34,0.009825111202810185
14,35,0.024002092382637247
14,36,0.015076857124425547
14,37,0.0324829835763181
14,38,0.0
14,39,0.10419360833757998
14,40,0.010851059149356102
14,41,0.004801779406454483
14,42,0.010597142381611628
14,43,0.046696094698210365
14,44,0.056285714437297775
14,45,0.08330573369045134
14,46,0.028410767314627595
14,47,0.016268606308222147
14,48,0.020251401503859685
14,49,0.011199375955350751
14,50,0.09564752963608104
14,51,0.0
14,52,0.026631185068354404
14,53,0.015229244905586968
14,54,0.0
14,55,0.005791333023750689
14,56,0.002612561753238172
14,57,0.0
14,58,0.0
14,59,0.0
14,60,0.0
14,61,0.0
14,62,0.0
14,63,0.0
14,64,0.0
14,65,0.0
14,66,0.0
14,67,0.0
14,68,0.0
14,69,0.0
14,70,0.0
14,71,0.0
14,72,0.0
14,73,0.0
14,74,0.0
14,75,0.0
14,76,0.0
14,77,0.0
15,16,0.12399372646851574
15,17,0.07892663694995448
15,18,0.059546835002396055
15,19,0.0386614111973832
15,20,0.10936296795512226
15,21,0.1023333181288885
15,22,0.0827330765633744
15,23,0.052275230512387735
15,24,0.059882360538023545
15,25,0.0761535120145681
15,26,0.166629333877158
15,27,0.09766494106030014
15,28,0.18784388665020807
15,29,0.07186049448469423
15,30,0.01711919381154152
15,31,0.09092326717189683
15,32,0.090667117203027
15,33,0.06254395563955847
15,34,0.013718006204515316
15,35,0.07464532329068234
15,36,0.030168154428384466
15,37,0.05807786524661216
15,38,0.04723820556773467
15,39,0.2509225503673972
15,40,0.05573740998458812
15,41,0.015937827133616158
15,42,0.08647793394537821
15,43,0.25863582092848014
15,44,0.12130507977574097
15,45,0.07393496884374019
15,46,0.04272726848037762
15,47,0.05890046067234143
15,48,0.06821183587188386
15,49,0.016429840217597504
15,50,0.042814427024194995
15,51,0.0
15,52,0.0
15,53,0.013757080093217076
15,54,0.006213072652598303
15,55,0.0
15,56,0.003988997990772488
15,57,0.0
15,58,0.0
15,59,0.0
15,60,0.0
15,61,0.0
15,62,0.0
15,63,0.0
15,64,0.0
15,65,0.0
15,66,0.0
15,67,0.0
15,68,0.0
15,69,0.0
15,70,0.0
15,71,0.0
15,72,0.0
15,73,0.0
15,74,0.0
15,75,0.0
15,76,0.0
15,77,0.0
16,17,0.06141497769621632
16,18,0.0936504084917495
16,19,0.019188333909844816
16,20,0.038531979893848135
16,21,0.08451580733225356
16,22,0.052906078528531096
16,23,0.06823433986763117
16,24,0.15311314805780601
16,25,0.046271942242730714
16,26,0.11627190031151009
16,27,0.06455971063983962
16,28,0.1532751530024198
16,29,0.09096620772656523
16,30,0.05359405466143025
16,31,0.10343091650113097
16,32,0.06314304330942806
16,33,0.06786902369098431
16,34,0.015961763170167974
16,35,0.03523715069804035
16,36,0.02605391953184242
16,37,0.03296668574275996
16,38,0.06572268469555521
16,39,0.14327907275292062
16,40,0.051425932015356515
16,41,0.026121551345706425
16,42,0.08474814574533306
16,43,0.05424154890879121
